category,rank,name,country,points,movement,profile
Women's Singles,91,Vivien Sandorhazi,Hungary,20974,,https://m.aiscore.com/badminton/player-vivien-sandorhazi/ndkz69c3oelteq3
Women's Singles,92,Vu Thi Trang,Vietnam,20360,,https://m.aiscore.com/badminton/player-vu-thi-trang/63kv9jcggw8hp7e
Women's Singles,93,Kim Min Seon,South Korea,20340,,https://m.aiscore.com/badminton/player-kim-min-seon/vkjozc9rwzdhx79
Women's Singles,94,Xu Wenjing,China,20319,,https://m.aiscore.com/badminton/player-xu-wenjing/34kgm3clplmu8ko
Women's Singles,95,Kim Joo Eun,South Korea,20290,,https://m.aiscore.com/badminton/player-kim-joo-eun/jek33vcrvl1adko
Women's Singles,96,Pornpicha Choeikeewong,Thailand,19951,,https://m.aiscore.com/badminton/player-pornpicha-choeikeewong/j374oxc09xefrqo
Women's Singles,97,Disha Gupta,USA,19680,,https://m.aiscore.com/badminton/player-disha-gupta/jek33vc8mjnadko
Women's Singles,98,Wang Pei Yu,Chinese Taipei,19476,,https://m.aiscore.com/badminton/player-wang-pei-yu/zrkn68cwx8wtnql
Women's Singles,99,Liang Ka Wing,"Hong Kong, China",19183,,https://m.aiscore.com/badminton/player-liang-ka-wing/ek33vc6x4g2idko
Women's Singles,100,Chloe Hoang,Canada,18994,,https://m.aiscore.com/badminton/player-chloe-hoang/63kv9jcp2xntp7e
Women's Singles,101,Passa-Orn Phannachet,Thailand,18540,,https://m.aiscore.com/badminton/player-passa-orn-phannachet/3kv9jcmmz0oap7e
Women's Singles,102,Petra Maixnerova,Czech,18398,,https://m.aiscore.com/badminton/player-petra-maixnerova/vrqwnzcmy5lsdqn
Women's Singles,103,Anna Siess Ryberg,Denmark,18340,,https://m.aiscore.com/badminton/player-anna-siess-ryberg/jek33vcm33jhdko
Women's Singles,104,Ranithma Liyanage,Sri Lanka,18280,,https://m.aiscore.com/badminton/player-ranithma-liyanage/9759nc3wewptnk2
Women's Singles,105,Samiya Imad Farooqui,India,18080,,https://m.aiscore.com/badminton/player-samiya-imad-farooqui/xvkjozc2px5bx79
Women's Singles,106,Prakriti Bharath,United Arab Emirates,17760,,https://m.aiscore.com/badminton/player-prakriti-bharath/07dn3cd2vvpi9kn
Women's Singles,107,Sakura Masuki,Japan,17470,,https://m.aiscore.com/badminton/player-sakura-masuki/dq09gcmx466h4qx
Women's Singles,108,Fadilah Shamika Mohamed Rafi,Uganda,17219,,https://m.aiscore.com/badminton/player-fadilah-shamika-mohamed-rafi/zrkn68cpjr6cnql
Women's Singles,109,Miranda Wilson,Germany,17113,,https://m.aiscore.com/badminton/player-miranda-wilson/j374oxc0084arqo
Women's Singles,110,Liao Yuan Chi,Chinese Taipei,17110,,https://m.aiscore.com/badminton/player-liao-yuan-chi/l6keg3cjymnfg75
Women's Singles,111,Hsieh Yi En,Chinese Taipei,17090,,https://m.aiscore.com/badminton/player-hsieh-yi-en/9759nc33wj0cnk2
Women's Singles,112,Aalisha Naik,India,16940,,https://m.aiscore.com/badminton/player-aalisha-naik/dqml6cxod24hgkv
Women's Singles,113,Megan Lee Xinyi,Singapore,16780,,https://m.aiscore.com/badminton/player-megan-lee-xinyi-/jr7owrc4lxyh3q0
Women's Singles,114,Shaunna Li,New Zealand,16773,,https://m.aiscore.com/badminton/player-shaunna-li/ndqml6cw2o2tgkv
Women's Singles,115,Yasmine Hamza,Italy,16761,,https://m.aiscore.com/badminton/player-yasmine-hamza/527r3dc4p6jt87e
Women's Singles,116,Chiara Marvella Handoyo,Indonesia,16720,,https://m.aiscore.com/badminton/player-chiara-marvella-handoyo/9gklz8cee6ra17x
Women's Singles,117,Lee Yu-hsuan,Chinese Taipei,16710,,https://m.aiscore.com/badminton/player-lee-yu-hsuan/527r3dc4wwph87e
Women's Singles,118,Xu Wei,Austria,16430,,https://m.aiscore.com/badminton/player-xu-wei/j374oxcgjpxtrqo
Women's Singles,119,Agnes Korosi,Hungary,16425,,https://m.aiscore.com/badminton/player-agnes-korosi/o17pj3cop5nb27j
Women's Singles,120,Dalila Aghnia Puteri,Indonesia,16330,,https://m.aiscore.com/badminton/player-dalila-aghnia-puteri/17pj3c0zgvla27j
Women's Singles,121,Tallulah Sharleen van Coppenolle,Czech,16320,,https://m.aiscore.com/badminton/player-tallulah-sharleen-van-coppenolle/69759ncr3elfnk2
Women's Singles,122,Mikaela Joy de Guzman,Philippines,16100,,https://m.aiscore.com/badminton/player-mikaela-joy-de-guzman/374oxc11pwltrqo
Women's Singles,123,Frederikke Oestergaard,Denmark,16060,,https://m.aiscore.com/badminton/player-frederikke-oestergaard/wv78x6c1rdrsnkr
Women's Singles,124,Romane Cloteaux-Foucault,France,15977,,https://m.aiscore.com/badminton/player-romane-cloteaux-foucault/l6keg3c832lbg75
Women's Singles,125,Isabelle Rusli,USA,15230,,https://m.aiscore.com/badminton/player-isabelle-rusli/zrkn68c4e5zinql
Women's Singles,126,Nour Ahmed Youssri,Egypt,15048,,https://m.aiscore.com/badminton/player-nour-ahmed-youssri/g6763zc92j1bp7r
Women's Singles,127,Thamonwan Nithiittikrai,Thailand,14980,,https://m.aiscore.com/badminton/player-thamonwan-nithiittikrai/8lk2d9cdlzvi373
Women's Singles,128,Saloni Samirbhai Mehta,"Hong Kong, China",14860,,https://m.aiscore.com/badminton/player-saloni-samirbhai-mehta/vmqy98c5j2di4k9
Women's Singles,129,Asuka Takahashi,Japan,14850,,https://m.aiscore.com/badminton/player-asuka-takahashi/9gklz8c1oevu17x
Women's Singles,130,Meghana Reddy Mareddy,India,14650,,https://m.aiscore.com/badminton/player-meghana-reddy-mareddy/ezk96jcw21vfwkn
Women's Singles,131,Milena Schnider,Switzerland,14593,,https://m.aiscore.com/badminton/player-milena-schnider/vrqwnzc4e5whdqn
Women's Singles,132,Dounia Pelupessy,Switzerland,14517,,https://m.aiscore.com/badminton/player-dounia-pelupessy/ezk96jcwnyjhwkn
Women's Singles,133,Kristin Kuuba,Estonia,14515,,https://m.aiscore.com/badminton/player-kristin-kuuba/69759ncgzdrfnk2
Women's Singles,134,Hung Yi-Ting,Chinese Taipei,14380,,https://m.aiscore.com/badminton/player-hung-yi-ting/63kv9jcg4ngfp7e
Women's Singles,135,Lim Zhi Shin,Malaysia,14170,,https://m.aiscore.com/badminton/player-lim-zhi-shin/zk96jcn5owmhwkn
Women's Singles,136,Nodoka Sunakawa,,14150,,
Women's Singles,137,Gianna Stiglich,Italy,14110,,https://m.aiscore.com/badminton/player-gianna-stiglich/8lk2d9c3v10u373
Women's Singles,138,Oo Shan Zi,Malaysia,13685,,https://m.aiscore.com/badminton/player-oo-shan-zi/wv78x6c4d64inkr
Women's Singles,139,Kaoru Sugiyama,Japan,13610,,https://m.aiscore.com/badminton/player-kaoru-sugiyama/3kv9jcmzgndtp7e
Women's Singles,140,Thet Htar Thuzar,Myanmar,13587,,https://m.aiscore.com/badminton/player-thet-htar-thuzar-/8lk2d9cr6eot373
Women's Singles,141,Sophia Noble,Ireland,13515,,https://m.aiscore.com/badminton/player-sophia-noble/wv78x6cvx6dunkr
Women's Singles,142,Ler Eng Qi,Malaysia,13490,,https://m.aiscore.com/badminton/player-ler-eng-qi/27r3dce01x5f87e
Women's Singles,143,Liao Jui-Chi,Chinese Taipei,13330,,https://m.aiscore.com/badminton/player-liao-jui-chi/edq09gcv84gh4qx
Women's Singles,144,Rosy Oktavia Pancasari,France,13262,,https://m.aiscore.com/badminton/player-rosy-oktavia-pancasari/oj7x9jcvmw9cr7g
Women's Singles,145,Namie Miyahira Tsukazan,Peru,12990,,https://m.aiscore.com/badminton/player-namie-miyahira-tsukazan/vmqy98cx2o9t4k9
Women's Singles,146,Aditi Bhatt,India,12915,,https://m.aiscore.com/badminton/player-aditi-bhatt/vrqwnzc0xwxsdqn
Women's Singles,147,Medhavi Nagar,India,12750,,https://m.aiscore.com/badminton/player-medhavi-nagar/3kv9jcm48y8bp7e
Women's Singles,148,Tsai Hsin-Pei,Chinese Taipei,12680,,https://m.aiscore.com/badminton/player-tsai-hsin-pei/o07dn3c96yns9kn
Women's Singles,149,Jenjira Stadelmann,Switzerland,12480,,https://m.aiscore.com/badminton/player-jenjira-stadelmann/69759ncg10xfnk2
Women's Singles,150,Tiffany Ho,Australia,12294,,https://m.aiscore.com/badminton/player-tiffany-ho/ezk96jc331xiwkn
Women's Singles,151,Vilte Paulauskaite,Lithuania,12200,,https://m.aiscore.com/badminton/player-vilte-paulauskaite/oj7x9jcm008ur7g
Women's Singles,152,Yuan Anqi,China,12182,,https://m.aiscore.com/badminton/player-yuan-anqi/4kgm3c2nzmgs8ko
Women's Singles,153,Saena Kawakami,Australia,12130,,https://m.aiscore.com/badminton/player-saena-kawakami/wv78x6cv16ycnkr
Women's Singles,154,"Ramu, Rujula",India,12120,,https://m.aiscore.com/badminton/player-ramu--rujula/dkz69cz94p6ceq3
Women's Singles,155,Naomi Junco Vasquez,Peru,12103,,https://m.aiscore.com/badminton/player-naomi-junco-vasquez/2q156c2g4plfm76
Women's Singles,156,Anna Iwaki,Japan,12090,,https://m.aiscore.com/badminton/player-anna-iwaki/6763zcvwwyyap7r
Women's Singles,157,Nikte Alejandra Sotomayor,Guatemala,11824,,https://m.aiscore.com/badminton/player-nikte-alejandra-sotomayor/ndqml6cwwl9sgkv
Women's Singles,158,"Matsuta, Niina",Japan,11720,,https://m.aiscore.com/badminton/player-matsuta--niina/gklz8c0ojdyu17x
Women's Singles,159,Johanita Scholtz,South Africa,11663,,https://m.aiscore.com/badminton/player-johanita-scholtz/9gklz8cxyozi17x
Women's Singles,160,Surya Charisma Tamiri,India,11650,,https://m.aiscore.com/badminton/player-surya-charisma-tamiri/gklz8c0o0n2i17x
Women's Singles,161,Bilqis Prasista,Indonesia,11490,,https://m.aiscore.com/badminton/player-bilqis-prasista/edq09gc11eju4qx
Women's Singles,162,Nanami Someya,Japan,11430,,https://m.aiscore.com/badminton/player-nanami-someya/edq09gcld66c4qx
Women's Singles,163,Hristomira Popovska,Bulgaria,11301,,https://m.aiscore.com/badminton/player-hristomira-popovska/ndkz69c395rheq3
Women's Singles,164,Lucie Krulova,Czech,11267,,https://m.aiscore.com/badminton/player-lucie-krulova/o07dn3c8lpoa9kn
Women's Singles,165,Yue Yann Jaslyn Hooi,Singapore,11139,,https://m.aiscore.com/badminton/player-yue-yann-jaslyn-hooi/m2q156czmz1sm76
Women's Singles,166,Gergana Pavlova,Bulgaria,10838,,https://m.aiscore.com/badminton/player-gergana-pavlova/69759ncgz99tnk2
Women's Singles,167,Clara Lassaux,Belgium,10746,,https://m.aiscore.com/badminton/player-clara-lassaux/ndqml6cw5r2ugkv
Women's Singles,168,Sabrina Solis,Mexico,10610,,https://m.aiscore.com/badminton/player-sabrina-solis/ndqml6cw980sgkv
Women's Singles,169,Sih Yun Lin,Chinese Taipei,10500,,https://m.aiscore.com/badminton/player-sih-yun-lin/ezk96jc3gx1awkn
Women's Singles,170,Azkya Aliefa Ruhanda,Switzerland,10491,,https://m.aiscore.com/badminton/player-azkya-aliefa-ruhanda/o07dn3cr0ora9kn
Women's Singles,171,Cai Yanyan,China,10330,,https://m.aiscore.com/badminton/player-cai-yanyan/j374oxc04nvirqo
Women's Singles,172,"Sakai, Kanae",Japan,10240,,https://m.aiscore.com/badminton/player-sakai--kanae/6763zcv29omhp7r
Women's Singles,173,Leona Lee,England,10238,,https://m.aiscore.com/badminton/player-leona-lee/8lk2d9cd3jpf373
Women's Singles,174,Nurani Ratu Azzahra,United Arab Emirates,10150,,https://m.aiscore.com/badminton/player-nurani-ratu-azzahra/9gklz8c8195b17x
Women's Singles,175,Juliana Giraldo,Colombia,10044,,https://m.aiscore.com/badminton/player-juliana-giraldo/wv78x6cldg2snkr
Women's Singles,176,Joanne Ng,Malaysia,10020,,https://m.aiscore.com/badminton/player-joanne-ng/ezk96jcvynruwkn
Women's Singles,177,"Ramadhani, Sausan Dwi",Indonesia,10000,,https://m.aiscore.com/badminton/player-ramadhani--sausan-dwi/07dn3cd29rzi9kn
Women's Singles,178,"Cruz, Micah Henares",USA,9988,,https://m.aiscore.com/badminton/player-cruz--micah-henares/6763zcvwr5xap7r
Women's Singles,179,Petra Saarnivaara,Finland,9819,,https://m.aiscore.com/badminton/player-petra-saarnivaara/ndkz69c05zvieq3
Women's Singles,180,Adita Rao,India,9700,,https://m.aiscore.com/badminton/player-adita-rao/rqwnzco8d48tdqn
Women's Singles,181,Han Yu Chen,Chinese Taipei,9650,,https://m.aiscore.com/badminton/player-han-yu-chen/ndkz69cegl8seq3
Women's Singles,182,Lucie Amiguet,Switzerland,9628,,https://m.aiscore.com/badminton/player-lucie-amiguet/vmqy98cynwyi4k9
Women's Singles,183,Iona Gualdi,Argentina,9600,,https://m.aiscore.com/badminton/player-iona-gualdi/527r3dcdeyzb87e
Women's Singles,184,Wang Yu Si,Chinese Taipei,9570,,https://m.aiscore.com/badminton/player-wang-yu-si/9gklz8cx5oyh17x
Women's Singles,185,Shiori Ebihara,Japan,9550,,https://m.aiscore.com/badminton/player-shiori-ebihara/jek33vc8vlgidko
Women's Singles,186,Nutnalin Rattanapanuwong,Thailand,9530,,https://m.aiscore.com/badminton/player-nutnalin-rattanapanuwong/34kgm3cr5n5u8ko
Women's Singles,187,Jelena Buchberger,Croatia,9490,,https://m.aiscore.com/badminton/player-jelena-buchberger/xvkjozce5x2sx79
Women's Singles,188,Huang Sheng-Chun,Chinese Taipei,9420,,https://m.aiscore.com/badminton/player-huang-sheng-chun/2q156c22159cm76
Women's Singles,189,Insyirah Khan,Singapore,9398,,https://m.aiscore.com/badminton/player-insyirah-khan/o17pj3coyo3u27j
Women's Singles,190,Kim Ga Ram,South Korea,9300,,https://m.aiscore.com/badminton/player-kim-ga-ram/o07dn3cl0lys9kn
Women's Singles,191,Laura Floej Thomsen,Denmark,9240,,https://m.aiscore.com/badminton/player-laura-floej-thomsen/wv78x6c1w1oankr
Women's Singles,192,Tanvi Patri,India,9040,,https://m.aiscore.com/badminton/player-tanvi-patri/4kgm3c2p2mvu8ko
Women's Singles,193,Weronika Gorniak,Poland,8790,,https://m.aiscore.com/badminton/player-weronika-gorniak/j374oxc0ojwcrqo
Women's Singles,194,Ann-Sofie Husher Ruus,Denmark,8740,,https://m.aiscore.com/badminton/player-ann-sofie-husher-ruus/527r3dc3z9xa87e
Women's Singles,195,Zhang Yuelin,Australia,8703,,https://m.aiscore.com/badminton/player-zhang-yuelin/gklz8c00nngi17x
