category,rank,name,country,points,movement,profile
Women's Doubles,202,Mihaela Chepisheva/Tsvetina Popivanova,,6710,,
Women's Doubles,203,Luo Xumin/Wang Yiduo,,6710,,
Women's Doubles,204,Atitaya Povanon/Patida Srisawat,,6678,,
Women's Doubles,205,Chen Yu Tong/Lai Yu Jung,,6620,,
Women's Doubles,206,Lee So-hee/Lee Yeon Woo,,6554,,
Women's Doubles,207,Leonie Wronna/Aurelia Wulandoko,,6550,,
Women's Doubles,208,Leyanis Contreras Cabeza/Taymara Oropesa Pupo,,6540,,
Women's Doubles,209,Luo Xumin/Zhang Shuxian,,6539,,
Women's Doubles,210,Jeon Jui/Kim Ha Na,,6500,,
Women's Doubles,211,Oasis N S / Viswanath Sri V,,6390,,
Women's Doubles,212,Chang Y J / Lin Y Y,,6390,,
Women's Doubles,213,Lisa Curtin/Yulia Tang,,6360,,
Women's Doubles,214,Priska Kustiadi/Maureen Clarissa Wijaya,,6290,,
Women's Doubles,215,Mikoto Aiso/Momoha Niimi,,6240,,
Women's Doubles,216,Tsai Ruo Lin/Wang Yi Zhen,,6220,,
Women's Doubles,217,Jeong Na-eun/Kim Hye-jeong,,6218,,
Women's Doubles,218,Sterre Bang/Inger Pothuizen,,6170,,
Women's Doubles,219,Sirine Ibrahim/Tanina Violette Mammeri,,6127,,
Women's Doubles,220,Janani Ananthakumar/Taabia Khan,,6070,,
Women's Doubles,221,Saffron Morris/Yulia Tang,,5990,,
Women's Doubles,222,Thi Ngoc Lan Nguyen/Than Van Anh,,5970,,
Women's Doubles,223,Fae Boonen/Lieke van Parys,,5967,,
Women's Doubles,224,Kim S Y / Lee S J,,5950,,
Women's Doubles,225,Jeong Na Eun/Lee So Hee,,5911,,
Women's Doubles,226,How Hong Chiara Kate/How Hong Elsa Caitlin,,5788,,
Women's Doubles,227,Selsi Josika/Yasintha Ristyna Putri,,5720,,
Women's Doubles,228,Ong Xin Yee/Thinaah Muralitharan,,5686,,
Women's Doubles,229,Jenjira Stadelmann/Leila Zarrouk,,5600,,
Women's Doubles,229,Tomona Harima/Tsukiko Yasaki,,5600,,
Women's Doubles,231,Centeno Fuentes F B / Hernandez D,,5588,,
Women's Doubles,232,Wang Y D / Wang Z M,,5520,,
Women's Doubles,233,Arisa Igarashi/Mayu Matsumoto,,5509,,
Women's Doubles,234,Yuna Kato/Sona Yonemoto,,5500,,
Women's Doubles,235,Yuki Fukushima/Arisa Igarashi,,5449,,
Women's Doubles,236,Julia Piwowar/Daria Zimnol,,5430,,
Women's Doubles,237,Arisa Igarashi/Kie Nakanishi,,5412,,
Women's Doubles,238,Isuri Attanayake/Sithumi De Silva,,5410,,
Women's Doubles,239,Reeva Evangelin/Samriddhi Singh,,5400,,
Women's Doubles,239,Muskaan Khan/Annanya Pravin,,5400,,
Women's Doubles,241,Kie Nakanishi/Miyu Takahashi,,5358,,
Women's Doubles,242,Chaiwanna P / Rungruengpramong P,,5340,,
Women's Doubles,243,Yanxi Liu/Natalie Ting,,5320,,
Women's Doubles,244,Raia Pashova/Gergana Pavlova,,5260,,
Women's Doubles,245,Lemming S / Petersen A A,,5250,,
Women's Doubles,246,Chloe Ho/Stella Pan,,5080,,
Women's Doubles,247,Emma Goyette/Jasmine Yuexin Zhang,,5070,,
Women's Doubles,248,Manya Ralhan/Shivani Santosh Singh,,5020,,
Women's Doubles,249,Carrisia J / Huo F,,5020,,
Women's Doubles,250,Vanessa Maricela Garcia Contreras/Vanessa Karmine Villalobos Vazquez,,4950,,
