category,rank,name,country,points,movement,profile
Men's Doubles,85,Nguyen Dinh Hoang/Tran Dinh Manh,,20270,,
Men's Doubles,86,Huang Tsung-I/Lin Ting-Yu,,19670,,
Men's Doubles,87,Yann Orteu/Minh Quang Pham,,18929,,
Men's Doubles,88,Ruben Garcia/Carlos Piris,,18893,,
Men's Doubles,89,Malaysia,,18360,,
Men's Doubles,90,Robin Harper/Harry Wakefield,,18230,,
Men's Doubles,91,Jacobo Fernandez/Alberto Perals,,17622,,
Men's Doubles,92,Tori Aizawa/Daisuke Sano,,17450,,
Men's Doubles,93,Chang Ko-chi/Po Li-wei,,17080,,
Men's Doubles,94,Arden Quan Lee/Stanley Xing,,17078,,
Men's Doubles,95,Baptiste Labarthe/Quentin Ronget,,16870,,
Men's Doubles,96,Vojtech Havlicek/Tomas Svejda,,16570,,
Men's Doubles,97,Scott Guildea/Paul Reynolds,,16400,,
Men's Doubles,98,P.S Ravikrishna/Somi Romdhani,,16170,,
Men's Doubles,99,Mio Molin/Max Svensson,,15793,,
Men's Doubles,100,Natan Begga/Gregoire Deschamp,,15750,,
Men's Doubles,101,Achutaditya Rao Doddavarapu/Arjun Reddy Pochana,,15740,,
Men's Doubles,102,Viplav Kuvale/Viraj Kuvale,,15730,,
Men's Doubles,103,Dexter Farrell/Wahyu Agung Prasetyo,,15570,,
Men's Doubles,104,Takuto Goto/Tsubasa Yoshida,,15570,,
Men's Doubles,105,Cho Song Hyun/Jin Sung Ik,,15560,,
Men's Doubles,106,Lee Jong Min/Wang Chan,,15440,,
Men's Doubles,107,Goh Boon Zhe/Wong Vin Sean,,15230,,
Men's Doubles,108,Jin Y / Lee J,,15138,,
Men's Doubles,109,Solomon Jr. Padiz/Julius Villabrille,,15070,,
Men's Doubles,110,Bryan Jeremy Goonting/M Fazriq Mohamad Razif,,15056,,
Men's Doubles,111,Shuntaro Mezaki/Yuta Oku,,14900,,
Men's Doubles,112,Weerapat Phakjarung/Tanupat Viriyangkura,,14590,,
Men's Doubles,113,South Korea,,14490,,
Men's Doubles,114,Kristoffer Kolding/Calvin Lundsgaard,,14030,,
Men's Doubles,115,Dingku Singh Konthoujam/Amaan Mohammad,,13840,,
Men's Doubles,116,Chien-Wei Chiang/Wu Hsuan-yi,,13790,,
Men's Doubles,117,Cui Hechen/Peng Jianqin,,13786,,
Men's Doubles,118,Adrian Krawczyk/Szymon Slepecki,,13635,,
Men's Doubles,119,Rasmus Kjaer/Frederik Soegaard,,13620,,
Men's Doubles,120,Rasmus Espersen/Andreas Soendergaard,,13440,,
Men's Doubles,121,Csanad Horvath/Miklos Kis-Kasza,,13365,,
Men's Doubles,122,Iljo van Delsen/Yaro van Delsen,,13341,,
Men's Doubles,123,Raphael Chris Deloy/Adam Jeffrey,,13340,,
Men's Doubles,124,Torjus Flaatten/Jonas Oesthassel,,13158,,
Men's Doubles,125,Beh Chun Meng/Choi Jian Sheng,,13090,,
Men's Doubles,126,Algeria,,13059,,
Men's Doubles,127,Chen Yu-che/Chen Ze Ru,,12980,,
Men's Doubles,128,Boon Xin Yuan/Lee Yi Bo,,12660,,
Men's Doubles,129,Kong Hee-yong/Lee Yeon Woo,,12490,,
Men's Doubles,130,Cheng Kai Wen/Liao Chao Pang,,12470,,
Men's Doubles,131,Abinash Mohanty/Ayush Pattanayak,,12230,,
Men's Doubles,132,Hari Bharathi Baskaran.P/Bharathsanjai S,,12170,,
Men's Doubles,133,Wang Yuehang/Xie Zewei,,12130,,
Men's Doubles,134,Bao Xin Da Gu La Wai/Chou Yu Hsiang,,12050,,
Men's Doubles,135,Danial Iman Marzuan/Aaron Sonnenschein,,12030,,
Men's Doubles,136,Bugra Aktas/Emre Sonmez,,11928,,
Men's Doubles,137,Marvin Datko/Aaron Sonnenschein,,11670,,
Men's Doubles,138,Pramudya Kusumawardana/Jack Yu,,11650,,
Men's Doubles,139,Krishna Prasad Garaga/Pruthvi Krishnamurthy Roy,,11400,,
Men's Doubles,140,Akshan Shetty/Sankar Prasad Udayakumar,,11370,,
Men's Doubles,141,Karthick Raja Balamurugan/P. Parth Vaid,,11150,,
Men's Doubles,142,William Kryger Boe/Christian Faust Kjaer,,11140,,
Men's Doubles,143,Ren Xiangyu/Xie Haonan,,11090,,
Men's Doubles,144,Jonathan Bing Tsan Lai/Nyl Yakura,,11016,,
Men's Doubles,145,Ashraf Daniel Md Zakaria/M Ariffin Nazri Md Zakaria,,10820,,
Men's Doubles,146,Christopher Alexander Martinez Salvador/Jonathan Solis,,10801,,
Men's Doubles,147,Anuj Kale/Ian Lopes,,10800,,
Men's Doubles,148,Chen Bo-Yuan/Tang Kai Wei,,10750,,
Men's Doubles,149,Al-Amin Jumar/Moajjam Hossain Ohidul,,10660,,
Men's Doubles,150,Chen Sheng Fa/Lu Chen,,10650,,
Men's Doubles,151,Pongsakorn Thongkham/Wongsathorn Thongkham,,10490,,
Men's Doubles,152,Yannick Feltes/Jerome Pauquet,,10341,,
Men's Doubles,153,Kedren Kittinupong/Lucas Ekarat Wedler,,10180,,
Men's Doubles,154,Nebel R / Søby J,,10090,,
Men's Doubles,155,Chen Yongrui/Chen Zhehan,,10020,,
Men's Doubles,156,Law Cheuk Him/Yeung Shing Choi,,9960,,
Men's Doubles,157,Narut Saengkham/Apichasit Teerawiwat,,9944,,
Men's Doubles,158,Yudai Nagafuchi/Kota Ogawa,,9880,,
Men's Doubles,159,Noh Jin Seong/Park Seung Min,,9780,,
Men's Doubles,160,Aditya Diwakar/Kavin Thangam Kavin,,9720,,
Men's Doubles,161,Andy Buijk/Brian Wassink,,9696,,
Men's Doubles,162,Chen Xujun/Guo Ruohan,,9370,,
